"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","slab"
"45",312080,"Black Peak","United States","Stratovolcano","Eruption Dated","1900 BCE","Alaska","Alaska Peninsula",56.552,-158.785,1032,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",45.3400344848633,-93.0280303955078,216.910232543945,"alu"
"46",312090,"Aniakchak","United States","Caldera","Eruption Observed","1931 CE","Alaska","Alaska Peninsula",56.88,-158.17,1341,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",37.2613105773926,-90.0094223022461,226.625091552734,"alu"
"47",312100,"Yantarni","United States","Stratovolcano","Eruption Dated","800 BCE","Alaska","Alaska Peninsula",57.019,-157.185,1345,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",31.0269775390625,-71.6449966430664,229.337768554688,"alu"
"48",312110,"Chiginagak","United States","Stratovolcano","Eruption Observed","1998 CE","Alaska","Alaska Peninsula",57.135,-156.99,2221,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",32.0908432006836,-72.9599914550781,230.662078857422,"alu"
"49",312120,"Kialagvik","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",57.203,-156.745,1677,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",31.9995231628418,-71.0438079833984,231.648178100586,"alu"
"50",312130,"Ugashik-Peulik","United States","Stratovolcano","Eruption Observed","1814 CE","Alaska","Alaska Peninsula",57.751,-156.368,1474,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",40.2555274963379,-94.3184585571289,225.161437988281,"alu"
"51",312131,"Ukinrek Maars","United States","Maar(s)","Eruption Observed","1977 CE","Alaska","Alaska Peninsula",57.832,-156.51,91,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",42.3331413269043,-105.623481750488,226.485137939453,"alu"
"52",312132,"Unnamed","United States","Lava dome","Evidence Credible","Unknown","Alaska","Alaska Peninsula",57.87,-155.411,402,"No Data (checked)","Subduction zone / Continental crust (>25 km)","Holocene",32.3869895935059,-70.0058212280273,223.884506225586,"alu"
"53",312140,"Martin","United States","Stratovolcano","Eruption Dated","1953 CE","Alaska","Alaska Peninsula",58.172,-155.361,1863,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",37.632625579834,-84.7207717895508,223.213745117188,"alu"
"54",312150,"Mageik","United States","Stratovolcano","Eruption Dated","500 BCE","Alaska","Alaska Peninsula",58.195,-155.253,2165,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",37.5095634460449,-82.781623840332,222.121398925781,"alu"
"55",312160,"Trident","United States","Stratovolcano","Eruption Observed","1974 CE","Alaska","Alaska Peninsula",58.236,-155.1,1864,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",37.2594604492188,-79.614372253418,220.424942016602,"alu"
"56",312170,"Katmai","United States","Stratovolcano","Eruption Observed","1912 CE","Alaska","Alaska Peninsula",58.28,-154.963,2047,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",37.2498512268066,-77.7468872070312,218.971084594727,"alu"
"57",312180,"Novarupta","United States","Caldera","Eruption Observed","1912 CE","Alaska","Alaska Peninsula",58.27,-155.157,841,"Rhyolite","Subduction zone / Continental crust (>25 km)","Holocene",38.1185836791992,-83.1953506469727,220.787948608398,"alu"
"58",312190,"Griggs","United States","Stratovolcano","Eruption Dated","1790 BCE","Alaska","Alaska Peninsula",58.354,-155.092,2317,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",39.2596817016602,-86.2065582275391,219.857864379883,"alu"
"59",312200,"Snowy Mountain","United States","Stratovolcano(es)","Eruption Dated","1710 CE","Alaska","Alaska Peninsula",58.336,-154.682,2162,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",35.1215362548828,-70.6858978271484,217.491302490234,"alu"
"60",312210,"Denison","United States","Stratovolcano","Evidence Uncertain","Unknown","Alaska","Alaska Peninsula",58.418,-154.449,2287,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",33.2578010559082,-67.0979309082031,216.556976318359,"alu"
"61",312220,"Steller","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",58.43,-154.4,2272,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",32.8259506225586,-66.2901382446289,216.253204345703,"alu"
"62",312230,"Kukak","United States","Stratovolcano","Unrest / Holocene","Unknown","Alaska","Alaska Peninsula",58.453,-154.355,2043,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",32.4140281677246,-65.4788055419922,215.881088256836,"alu"
"63",312250,"Kaguyak","United States","Lava dome(s)","Eruption Dated","3850 BCE","Alaska","Alaska Peninsula",58.608,-154.028,901,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",31.2386569976807,-61.8154678344727,211.888244628906,"alu"
"64",312260,"Fourpeaked","United States","Stratovolcano","Eruption Observed","2006 CE","Alaska","Alaska Peninsula",58.77,-153.672,2105,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",29.4204502105713,-56.5693855285645,209.534393310547,"alu"
"65",312270,"Douglas","United States","Stratovolcano","Evidence Credible","Unknown","Alaska","Alaska Peninsula",58.855,-153.542,2140,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",29.1492233276367,-55.8520736694336,209.891952514648,"alu"
"66",313010,"Augustine","United States","Lava dome(s)","Eruption Observed","2006 CE","Alaska","Alaska (southwestern)",59.363,-153.43,1252,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",38.0588645935059,-72.509162902832,214.123931884766,"alu"
"67",313020,"Iliamna","United States","Stratovolcano","Eruption Observed","1876 CE","Alaska","Alaska (southwestern)",60.032,-153.09,3053,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",47.7032203674316,-91.7853393554688,203.948501586914,"alu"
"68",313030,"Redoubt","United States","Stratovolcano","Eruption Observed","2009 CE","Alaska","Alaska (southwestern)",60.485,-152.742,3108,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",50.030101776123,-90.2158126831055,195.110412597656,"alu"
"69",313040,"Spurr","United States","Stratovolcano","Eruption Observed","1992 CE","Alaska","Alaska (southwestern)",61.299,-152.251,3374,"Andesite / Basaltic Andesite","Subduction zone / Continental crust (>25 km)","Holocene",47.0811080932617,-84.4514770507812,192.899688720703,"alu"
"70",313050,"Hayes","United States","Stratovolcano","Eruption Dated","1200 CE","Alaska","Alaska (southwestern)",61.64,-152.411,3034,"Dacite","Subduction zone / Continental crust (>25 km)","Holocene",53.1815452575684,-104.437774658203,191.927337646484,"alu"
"71",314010,"St. Paul Island","United States","Shield","Eruption Dated","1280 BCE","Alaska","Alaska (western)",57.18,-170.3,203,"Trachybasalt / Tephrite Basanite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"72",314030,"Ingakslugwat Hills","United States","Pyroclastic cone(s)","Evidence Credible","Unknown","Alaska","Alaska (western)",61.43,-164.47,190,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"73",314040,"St. Michael","United States","Shield(s)","Evidence Credible","Unknown","Alaska","Alaska (western)",63.45,-162.12,715,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"74",314060,"Imuruk Lake","United States","Shield(s)","Eruption Dated","300 CE","Alaska","Alaska (western)",65.517,-163.45,610,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"75",315001,"Buzzard Creek","United States","Tuff ring(s)","Eruption Dated","1050 BCE","Alaska","Alaska (eastern)",64.062,-148.433,830,"Basalt / Picro-Basalt","Subduction zone / Continental crust (>25 km)","Holocene",42.8581809997559,-109.356086730957,218.887283325195,"alu"
"76",315020,"Wrangell","United States","Shield","Eruption Observed","1912 CE","Alaska","Alaska (eastern)",62.006,-144.017,4278,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)","Holocene",18.7188491821289,-45.1476020812988,292.157897949219,"alu"
"77",315030,"Churchill","United States","Stratovolcano","Eruption Dated","847 CE","Alaska","Alaska (eastern)",61.38,-141.75,5005,"Dacite","Intraplate / Continental crust (>25 km)","Holocene",8.23090934753418,-13.4094743728638,262.056243896484,"alu"
"78",315040,"Edgecumbe","United States","Stratovolcano(es)","Eruption Dated","2220 BCE","Alaska","Alaska (eastern)",57.05,-135.75,970,"Andesite / Basaltic Andesite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"79",320010,"Fort Selkirk","Canada","Volcanic field","Evidence Uncertain","Unknown","Canada and Western USA","Canada",62.93,-137.38,1239,"Trachybasalt / Tephrite Basanite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"80",320020,"Alligator Lake","Canada","Volcanic field","Evidence Credible","Unknown","Canada and Western USA","Canada",60.42,-135.42,2217,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,"alu"
"81",311150,"Sergief","United States","Stratovolcano",NA,NA,"Alaska","Aleutian Islands",52.05,-174.95,560,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",50.3430404663086,-73.1882781982422,268.713989257812,"alu"
"82",311800,"Adagdak","United States","Stratovolcano",NA,NA,"Alaska","Aleutian Islands",51.988,-176.592,610,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",55.2090225219727,-83.1469039916992,261.89599609375,"alu"
"83",311801,"Table Top","United States","Pyroclastic cone",NA,NA,"Alaska","Aleutian Islands",53.967,-166.679,792,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",46.4919128417969,-86.8704605102539,238.213912963867,"alu"
"84",311802,"Wide Bay","United States","Pyroclastic cone",NA,NA,"Alaska","Aleutian Islands",53.961,-166.615,640,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",45.7715873718262,-84.4943237304688,238.585464477539,"alu"
"85",311803,"Gilbert","United States","Stratovolcano",NA,NA,"Alaska","Aleutian Islands",54.25,-165.65,818,NA,"Subduction zone / Intermediate crust (15-25 km)","Pleistocene",43.3281288146973,-81.9004974365234,245.339126586914,"alu"
"86",312801,"Trader Mountain","United States","Stratovolcano",NA,NA,"Alaska","Alaska Peninsula",55.565,-161.944,775,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",46.0773086547852,-109.346641540527,244.843170166016,"alu"
"87",312802,"Stepovak Bay 1","United States","Stratovolcano",NA,NA,"Alaska","Alaska Peninsula",55.868,-160.096,1320,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",45.2628707885742,-91.7074813842773,240.431488037109,"alu"
"88",312803,"Blue Mountain","United States","Lava dome(s)",NA,NA,"Alaska","Alaska Peninsula",57.72,-157.83,541,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",47.7903022766113,-142.563751220703,233.604766845703,"alu"
"89",312804,"Gertrude Creek","United States","Pyroclastic cone",NA,NA,"Alaska","Alaska Peninsula",58.034,-156.146,437,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",43.8347396850586,-105.21427154541,221.283264160156,"alu"
"90",312805,"Devils Desk","United States","Stratovolcano",NA,NA,"Alaska","Alaska Peninsula",58.474,-154.306,1955,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",32.0215187072754,-64.6765441894531,215.441360473633,"alu"
"91",312806,"Savonovski River Cluster","United States","Stratovolcano(es)",NA,NA,"Alaska","Alaska Peninsula",58.55,-154.5,1298,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",36.5173950195312,-74.7885665893555,215.035263061523,"alu"
"92",313800,"Double Glacier","United States","Lava dome(s)",NA,NA,"Alaska","Alaska (southwestern)",60.68,-152.62,1239,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",49.4725532531738,-88.4181365966797,193.843994140625,"alu"
"93",314020,"Nunivak Island","United States","Shield",NA,NA,"Alaska","Alaska (western)",60.02,-166.33,511,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"94",314050,"Kookooligit Mountains","United States","Shield",NA,NA,"Alaska","Alaska (western)",63.6,-170.43,673,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"95",314800,"St. George","United States","Volcanic field",NA,NA,"Alaska","Alaska (western)",56.58,-169.58,288,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"96",314801,"Otter Island","United States","Unknown",NA,NA,"Alaska","Alaska (western)",57.05,-170.4,87,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"97",314802,"Walrus Island","United States","Unknown",NA,NA,"Alaska","Alaska (western)",57.18,-169.93,0,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"98",314803,"Togiak Valley","United States","Volcanic field",NA,NA,"Alaska","Alaska (western)",59.2,-160.08,300,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"99",314804,"Ingrichuak Hills","United States","Pyroclastic cone(s)",NA,NA,"Alaska","Alaska (western)",62.22,-164.3,188,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"100",314805,"Selawik Hills","United States","Pyroclastic cone(s)",NA,NA,"Alaska","Alaska (western)",66.033,-160.067,365,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"101",314806,"Espenberg","United States","Volcanic field",NA,NA,"Alaska","Alaska (western)",66.35,-164.33,243,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"102",315010,"Sanford","United States","Shield",NA,NA,"Alaska","Alaska (eastern)",62.213,-144.13,4959,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",18.5115642547607,-51.0168037414551,309.547210693359,"alu"
"103",315021,"Gordon","United States","Pyroclastic cone(s)",NA,NA,"Alaska","Alaska (eastern)",62.13,-143.08,2755,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",22.5677661895752,-44.6997489929199,223.076446533203,"alu"
"104",315800,"Prindle","United States","Pyroclastic cone",NA,NA,"Alaska","Alaska (eastern)",63.716,-141.634,1245,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"105",315801,"Capital","United States","Shield",NA,NA,"Alaska","Alaska (eastern)",62.43,-144.12,2356,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",17.3435001373291,-56.2535972595215,319.036254882812,"alu"
"106",315802,"Jumbo Dome","United States","Lava dome",NA,NA,"Alaska","Alaska (eastern)",63.966,-148.685,1369,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",43.5914535522461,-111.240898132324,222.458633422852,"alu"
"107",315803,"Drum","United States","Stratovolcano",NA,NA,"Alaska","Alaska (eastern)",62.12,-144.63,3661,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",16.8838329315186,-42.5375747680664,314.07275390625,"alu"
"108",315804,"Tanada","United States","Shield",NA,NA,"Alaska","Alaska (eastern)",62.3,-143.52,2816,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,"alu"
"109",315805,"Jarvis","United States","Stratovolcano",NA,NA,"Alaska","Alaska (eastern)",62.024,-143.619,4112,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",19.1828727722168,-46.5461158752441,257.498321533203,"alu"
